,date,province,district,market,market_id,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice
1,1/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.66,0.27
2,2/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.62,0.34
3,2/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.71,0.27
4,3/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.63,0.27
5,4/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.98,0.34
6,4/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.67,0.27
7,5/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.1,0.35
8,5/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.71,0.27
9,6/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.74,0.33
10,6/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.66,0.26
11,7/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.93,0.34
12,8/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.78,0.34
13,9/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,37.14,0.36
14,9/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,27.49,0.27
15,10/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,37.36,0.36
16,10/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,28.15,0.27
17,11/15/2004,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,41.75,0.4
18,11/15/2004,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,48,0.46
19,11/15/2004,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,52.5,0.5
20,11/15/2004,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39,0.37
21,11/15/2004,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.31
22,11/15/2004,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.6,0.38
23,11/15/2004,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,113.75,1.09
24,11/15/2004,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,86,0.82
25,11/15/2004,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.31
26,11/15/2004,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45,0.43
27,11/15/2004,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,42.75,0.41
28,11/15/2004,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38.5,0.37
29,11/15/2004,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.5,0.32
30,11/15/2004,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45,0.43
31,11/15/2004,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,42.5,0.41
32,11/15/2004,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.5,0.38
33,11/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,29.24,0.28
34,12/15/2004,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,75,0.71
35,12/15/2004,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,68,0.65
36,12/15/2004,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,63.5,0.6
37,12/15/2004,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,64.5,0.61
38,12/15/2004,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,71.5,0.68
39,12/15/2004,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30,0.28
40,12/15/2004,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,70,0.66
41,12/15/2004,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,55,0.52
42,12/15/2004,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,65,0.62
43,12/15/2004,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.3
44,12/15/2004,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,70,0.66
45,12/15/2004,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,56,0.53
46,12/15/2004,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,65,0.62
47,12/15/2004,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.14,0.32
48,1/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,38.39,0.39
49,1/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35.14,0.36
50,2/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,36.25,0.37
51,2/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,29.27,0.29
52,3/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.79,0.33
53,4/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.25,0.32
54,4/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.48,0.33
55,5/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.66,0.32
56,5/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,30.68,0.31
57,6/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.32,0.31
58,6/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,28.02,0.28
59,7/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.47,0.3
60,7/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,27.54,0.27
61,8/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,29.47,0.29
62,8/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,29.48,0.29
63,9/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.68,0.3
64,10/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.83,0.3
65,10/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,30.27,0.3
66,11/15/2005,Western,Colombo,Colombo City,368,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.39,0.32
67,1/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,30.24,0.3
68,2/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,27,0.26
69,2/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30,0.29
70,2/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32,0.31
71,2/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,29,0.28
72,2/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,28,0.27
73,2/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,30.98,0.3
74,3/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,25,0.24
75,3/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,30.5,0.3
76,3/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,30.6,0.3
77,3/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,26.8,0.26
78,3/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,29.4,0.29
79,3/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30,0.29
80,3/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33.5,0.33
81,3/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,28.5,0.28
82,3/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32,0.31
83,3/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,27.5,0.27
84,3/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.5,0.32
85,3/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,36,0.35
86,3/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,29.5,0.29
87,3/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.5,0.32
88,3/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,31.76,0.31
89,4/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,27.5,0.27
90,4/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33.5,0.33
91,4/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,36.66,0.36
92,4/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,31,0.3
93,4/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34,0.33
94,4/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,31,0.3
95,4/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,28.5,0.28
96,4/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.25,0.33
97,4/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,26,0.25
98,4/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,33,0.32
99,4/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,26.5,0.26
100,4/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.5,0.32
101,4/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33,0.32
102,4/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,36,0.35
103,4/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.5,0.32
104,4/15/2006,Western,Colombo,Colombo City,368,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.56,0.34
105,5/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,25,0.24
106,5/15/2006,Eastern,Ampara,Ampara,360,cereals and tubers,Wheat flour,58,KG,Retail,LKR,16,0.16
107,5/15/2006,Eastern,Batticaloa,Batticaloa,361,cereals and tubers,Wheat flour,58,KG,Retail,LKR,31.6,0.31
108,5/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,29.6,0.29
109,5/15/2006,Eastern,Trincomalee,Trincomalee,366,cereals and tubers,Wheat flour,58,KG,Retail,LKR,29.75,0.29
110,5/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,31.75,0.31
111,5/15/2006,Northern,Jaffna,Jaffna,362,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34,0.33
112,5/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,27.5,0.27
113,5/15/2006,Northern,Kilinochchi,Kilinochchi,363,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.5,0.34
114,5/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30,0.29
115,5/15/2006,Northern,Mannar,Mannar,364,cereals and tubers,Wheat flour,58,KG,Retail,LKR,32.5,0.32
116,5/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,28,0.27
117,5/15/2006,Northern,Mullattivu,Mulaitivu,365,cereals and tubers,Wheat flour,58,KG,Retail,LKR,36,0.35
118,5/15/2006,Northern,Vavuniya,Vavuniya,367,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,29.5,0.29
