,date,Province,District,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice
1,2004-01-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.66,0.27
2,2004-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.62,0.34
3,2004-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.71,0.27
4,2004-03-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.63,0.27
5,2004-04-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.98,0.34
6,2004-04-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.67,0.27
7,2004-05-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.1,0.35
8,2004-05-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.71,0.27
9,2004-06-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.74,0.33
10,2004-06-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,26.66,0.26
11,2004-07-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.93,0.34
12,2004-08-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,34.78,0.34
13,2004-09-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,37.14,0.36
14,2004-09-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,27.49,0.27
15,2004-10-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,37.36,0.36
16,2004-10-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,28.15,0.27
17,2004-11-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,41.75,0.4
18,2004-11-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,Retail,LKR,48.0,0.46
19,2004-11-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,52.5,0.5
20,2004-11-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.0,0.37
21,2004-11-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.0,0.31
22,2004-11-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.6,0.38
23,2004-11-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,113.75,1.09
24,2004-11-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,Retail,LKR,86.0,0.82
25,2004-11-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.0,0.31
26,2004-11-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45.0,0.43
27,2004-11-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,42.75,0.41
28,2004-11-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,Retail,LKR,38.5,0.37
29,2004-11-15,Northern,Mullattivu,Mullativu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,33.5,0.32
30,2004-11-15,Northern,Mullattivu,Mullativu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,Retail,LKR,45.0,0.43
31,2004-11-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,42.5,0.41
32,2004-11-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,Retail,LKR,39.5,0.38
33,2004-11-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,29.24,0.28
34,2004-12-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,Retail,LKR,75.0,0.71
35,2004-12-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,Retail,LKR,68.0,0.65
36,2004-12-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,63.5,0.6
37,2004-12-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,Retail,LKR,64.5,0.61
38,2004-12-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,Retail,LKR,71.5,0.68
39,2004-12-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,30.0,0.28
40,2004-12-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,Retail,LKR,70.0,0.66
41,2004-12-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,55.0,0.52
42,2004-12-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,Retail,LKR,65.0,0.62
43,2004-12-15,Northern,Mullattivu,Mullativu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,32.0,0.3
44,2004-12-15,Northern,Mullattivu,Mullativu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,Retail,LKR,70.0,0.66
45,2004-12-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,56.0,0.53
46,2004-12-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,Retail,LKR,65.0,0.62
47,2004-12-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,34.14,0.32
48,2005-01-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,38.39,0.39
49,2005-01-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,Retail,LKR,35.14,0.36
50,2005-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,Retail,LKR,36.25,0.37
